M1M2M3M4,E_homo,G_homo,E_M1,G_M1,E_M2,G_M2,E_M3,G_M3,ΔG_min,q_M1,q_M2,q_M3,q_O,q_Cu,spin_M1,spin_M2,spin_M3,spin_O,spin_Cu,dband_M1,dband_M2,dband_M3,pband_O1,dband_Cu,alpha,beta,min_alpha_beta,d_M1-O,d_M2-O,d_M3-O,a_M1OM2,a_M1OM3,a_M2OM3,D_M1M2M3O,M1_nd,M2_nd,M3_nd
MnZnFe,NaN,NaN,122.17,191.02,121.7,187.92,132.83,198.25,187.92,1.02469,1.18821,0.99357,-0.96684,0.59743,3.6717,0.0232,3.5814,0.25686,0.0483,-3.74932,-6.25233,-3.65664,-3.81555,-2.10012,2.160931,1.344456,1.344456,1.917279074,2.037319675,1.86737577,89.60906503,129.1209233,105.1465481,-33.54184397,7,12,8
MnZnMn,NaN,NaN,118.01,183.49,99.12,164.35,97.59,156.69,156.69,0.96535,1.21576,1.11512,-0.98129,0.56315,3.6611,0.0328,4.67146,0.19107,0.0756,-3.05657,-5.85343,-2.60686,-2.90377,-1.60348,1.959787,1.911613,1.911613,1.895108211,2.135260533,1.925961049,82.47092274,131.8645689,109.0135376,-33.90639523,7,12,7
MnZnNi,NaN,NaN,117.27,188.97,91.29,165.32,90.49,152.21,152.21,0.93731,1.22783,0.98437,-0.92104,0.56332,3.6081,0.0307,-1.5778,-0.1267,0.032,-2.96213,-5.67133,-2.66981,-3.00983,-1.32698,1.47683,2.632862,1.47683,1.903151299,2.156422703,1.835685957,81.94284931,124.6436166,114.19117,-39.7698605,7,12,10
MnZnZn,NaN,NaN,112.5,181.5,91.9,161.58,96.95,156.45,156.45,0.96503,1.22267,1.18917,-1.03011,0.54793,3.6246,0.0285,0.0138,0.0838,0.0333,-2.91165,-5.67535,-6.27927,-2.72354,-1.41243,2.16261,2.716567,2.16261,1.897046504,2.131559769,1.872246075,82.53930317,127.2106515,106.1197851,-37.20424294,7,12,12
NiCoCo,167.06,218.41,132.02,193.73,123.43,186.68,102.55,164.52,164.52,1.02695,1.0244,0.99322,-0.95749,0.78079,1.6528,2.6342,2.6073,0.50701,0.4116,-2.68912,-2.80886,-3.0273,-3.48377,-2.42918,3.900058,0.782046,0.782046,1.952042315,1.945835223,1.852109844,88.45558717,127.9797238,111.0811379,-35.22814594,10,9,9
NiCoCu,122.77,173.45,136.71,189.94,128.51,192.44,137.12,198.75,173.45,1.02021,1.0683,0.85681,-0.8794,0.78979,1.6475,2.697,0.4411,0.62095,0.4283,-2.5237,-2.9303,-2.4073,-3.41382,-2.2068,3.948128,0.625601,0.625601,1.93704961,1.873585751,1.929449757,90.59145565,131.3843799,115.3410804,-30.48813787,10,9,11
NiCoFe,420.95,492.6,424.51,530.91,376.64,467.52,271.52,353.72,353.72,0.84367,0.89923,0.74642,-0.68775,0.68272,0,0,0,0,0,-2.12145,-1.98036,-1.92801,-4.72546,-2.18104,-0.244218,-0.244218,-0.244218,1.960566186,2.051356281,1.788223351,91.9793115,135.6495198,116.7512967,-24.80769027,10,9,8
NiCoNi,NaN,NaN,123.57,184.59,68.36,133.83,95.39,155.28,133.83,1.03039,1.07953,0.9568,-0.92812,0.79662,1.6408,2.6895,1.534,0.58583,0.4428,-2.54881,-2.86406,-2.47595,-3.70423,-2.10507,3.908459,0.786409,0.786409,1.954108553,1.895201199,1.85866031,91.33388319,140.0394693,125.075539,-13.07960933,10,9,10
NiCoZn,NaN,NaN,127.41,192.31,120.87,186.06,111.86,174.21,174.21,1.03552,1.03138,1.19726,-1.06542,0.77464,1.6373,2.631,0.0065,0.31487,0.4111,-2.67655,-2.77841,-6.6897,-3.35704,-2.52182,3.574382,0.637389,0.637389,1.936701185,1.915294576,1.879035898,90.00086314,132.7258553,115.4325037,-29.62111134,10,9,12
NiCuCo,140.42,186.5,120.47,180.33,114.05,177.49,84.68,157.27,157.27,1.02739,0.91462,0.96449,-0.89297,0.7708,1.633,0.5449,2.5881,0.55391,0.4087,-2.43466,-2.61231,-3.09819,-3.22302,-2.3058,3.958956,0.921763,0.921763,1.964038114,1.982828274,1.837473923,87.77227249,123.1862916,105.8810935,-39.17431439,10,11,9
NiCuCu,117.61,160.28,124,178.14,125.91,185.68,113.98,176.6,160.28,1.01354,0.92393,0.88502,-0.84232,0.77345,1.6373,0.5623,0.4904,0.64392,0.4214,-2.31142,-2.52906,-2.57433,-3.04247,-2.11226,3.873469,0.84231,0.84231,1.924949326,1.956829907,1.905431528,89.41397707,127.3834112,109.5262221,-34.92821452,10,11,11
NiCuFe,NaN,NaN,140.02,210.7,119.37,185.47,134.83,191.66,185.47,0.93384,0.93292,0.93205,-0.88076,0.76305,0.0317,-0.5588,3.4675,-0.05725,-0.4411,-2.41857,-3.44393,-3.59038,-3.8653,-3.04307,0.778863,0.859865,0.778863,1.981296459,1.968821306,1.818190815,87.96799831,125.8182312,109.4872337,-37.39733352,10,11,8
NiCuMn,162.67,207.22,122.9,187.28,120.6,187.22,87.73,159.37,159.37,1.02615,0.94518,0.89978,-0.86049,0.78653,1.6075,0.566,-2.9006,0.32663,0.4497,-3.54814,-3.92148,-2.85834,-4.56798,-3.36556,1.621188,0.933035,0.933035,1.942881796,1.94169805,1.893595923,89.73639249,133.3682554,114.6996158,-29.36838281,10,11,7
NiCuNi,161.83,207.8,124.9,188.57,106.3,170.41,68.39,140.5,140.5,1.01681,0.91898,1.0065,-0.92552,0.80657,1.6194,0.5506,1.6185,0.50718,0.4436,-2.25693,-2.51498,-2.59611,-3.03053,-2.13559,3.853575,1.252418,1.252418,1.953709004,1.956993293,1.83721816,87.06185892,124.1825567,115.4897883,-38.56948209,10,11,10
NiCuZn,NaN,NaN,117.53,180.1,114.73,172.59,88.01,158.33,158.33,1.02975,0.92587,1.19725,-1.025,0.77767,1.6242,0.5615,0.0027,0.32926,0.4194,-2.20856,-2.52308,-6.02794,-2.74586,-2.09947,3.651257,1.248878,1.248878,1.936607966,1.945130188,1.874048423,88.5833946,127.3412417,107.7601507,-35.73895862,10,11,12
NiFeCo,174.83,225.69,118.17,181.36,122.97,190.12,103.33,161.28,161.28,0.97729,1.11214,0.96657,-0.90325,0.58947,1.6329,3.8737,2.5823,0.52764,0.1587,-2.68239,-4.65418,-2.85027,-3.30115,-1.68483,3.490223,0.881528,0.881528,1.990961508,1.975204009,1.894075463,83.83527014,123.2847133,106.1346395,-41.08453777,10,8,9
NiFeFe,NaN,NaN,126.84,187.58,139.63,206.86,125.78,183.73,183.73,0.98144,1.01466,1.0277,-0.89451,0.57481,1.636,3.7846,3.6873,0.52531,0.1455,-2.91122,-4.57903,-3.92514,-3.58341,-1.89906,3.270829,0.666226,0.666226,1.99431507,2.034577862,1.846648092,83.14232627,125.1024956,97.08540757,-39.07712785,10,8,8
NiFeZn,183.65,235.59,119.28,179.32,120.48,188.64,107.28,168.34,168.34,0.97857,1.11489,1.19382,-0.98601,0.54768,1.6282,3.8753,0.0129,0.37059,0.0887,-2.79509,-4.76015,-6.83757,-3.46206,-1.49822,2.911403,0.773402,0.773402,1.994301674,1.940285905,1.905228981,84.01543815,125.2940491,110.4163266,-39.9178946,10,8,12
NiMnCo,197.61,247.79,128.49,193.25,130.48,196.81,103.15,163.61,163.61,0.95579,1.04848,0.98309,-0.88711,0.57964,1.5955,3.7141,2.6013,0.33979,0.0615,-2.6564,-3.9137,-3.24678,-3.84094,-1.57286,1.392249,0.920531,0.920531,2.00150741,1.902691472,1.901927722,88.21311787,116.3497469,109.3324813,-44.39897292,10,7,9
NiMnCu,150.79,200.43,114.85,183.24,131.9,200.78,131.23,191.5,183.24,0.99085,1.02692,0.65495,-0.83394,0.76915,1.6438,3.697,0.0486,0.20459,0.4638,-2.81731,-3.28114,-1.47164,-3.47215,-2.67386,1.301507,0.453276,0.453276,1.972570599,1.840324344,2.131594262,92.57513111,130.4570115,121.6552371,-27.30116958,10,7,11
NiMnFe,182.61,232.55,143.11,200.57,288.84,375.85,134.79,189.16,189.16,0.98028,0.85552,1.05934,-0.85447,0.66576,-1.5789,-0.8117,3.6669,0.23075,0.292,-3.26131,-1.97273,-4.36489,-4.37018,-2.95337,0.807897,0.359824,0.359824,2.010394714,2.042472709,1.821964022,86.32269136,130.8621671,112.5009361,-34.04136219,10,7,8
NiMnMn,209.25,261.37,130.55,197.36,127.19,197.51,117.31,174.23,174.23,0.9868,1.08574,1.10385,-0.93874,0.56761,1.6404,3.7621,4.67152,0.25722,0.0805,-2.64951,-3.71511,-2.87275,-3.54534,-1.48884,1.438781,1.439402,1.438781,1.998285797,1.881920627,1.982982446,90.34000124,123.6317022,116.1225591,-37.17230745,10,7,7
NiMnNi,174.73,219.5,123.17,190.14,134.12,205.59,106.92,170.77,170.77,1.00302,1.0654,0.82811,-0.90806,0.70354,1.6506,3.7368,1.3331,0.318,0.2959,-2.37699,-2.961,-1.95524,-3.09269,-2.03894,2.487796,0.834406,0.834406,1.970790176,1.915864378,1.922612848,92.10585189,126.1027286,116.5304966,-33.58881026,10,7,10
NiMnZn,NaN,NaN,126.74,192.24,126.62,196.1,109.26,173.39,173.39,0.96762,1.05299,1.19932,-0.9657,0.56602,-1.533,3.731,0.0091,-0.04122,0.0232,-2.51557,-3.73233,-6.8217,-3.6021,-1.43545,1.459101,1.748213,1.459101,1.992137808,1.886755612,1.909601902,89.61634841,119.8820135,109.4752882,-41.11171745,10,7,12
NiNiCo,NaN,NaN,133.83,197.04,121.9,183.21,104.04,167.92,167.92,1.04004,1.04508,0.97298,-0.94917,0.78345,1.6476,1.6341,2.5808,0.53174,0.413,-2.40674,-2.50126,-3.02905,-3.297,-2.21357,3.908447,1.06629,1.06629,1.951319992,1.942638021,1.84585873,91.96429558,129.5225341,115.6662026,-30.94038621,10,10,9
NiNiCu,128.81,173.98,137.23,194.18,123.03,183.24,133.58,192.37,173.98,1.02554,1.048,0.891,-0.89337,0.78764,1.6529,1.657,0.4911,0.60493,0.4256,-2.31706,-2.45052,-2.56606,-3.18163,-2.03253,3.897807,0.840334,0.840334,1.920279118,1.912645022,1.900424916,93.72400725,131.7343514,118.889392,-26.17559658,10,10,11
NiNiMn,108.73,158.72,138.09,200.41,124.8,188.42,121.11,178.88,158.72,0.84054,0.86051,0.79336,-0.71348,0.75084,0,0,0,0,0,-1.95979,-1.86605,-1.71348,-4.73747,-2.26666,0.073396,0.073396,0.073396,1.942534751,1.926971829,1.905828803,92.74860379,138.8928448,125.1409014,-12.42945385,10,10,7
NiNiNi,NaN,NaN,124.47,186.52,111.96,177.03,91.37,155.58,155.58,1.03032,1.0735,0.97943,-0.9315,0.7953,1.6406,1.6629,1.5738,0.58209,0.4429,-2.31156,-2.51972,-2.56204,-3.44648,-1.95737,3.882227,0.896934,0.896934,1.945099073,1.932051887,1.846905689,93.86944384,138.7764737,125.4977052,-9.510399079,10,10,10
NiNiZn,NaN,NaN,131.28,195.1,113.99,175.44,114.2,173.88,173.88,1.03841,1.0542,1.1959,-1.0714,0.77285,1.6392,1.6394,0.0047,0.31591,0.4111,-2.18978,-2.2986,-6.07756,-2.85569,-1.98113,3.573334,1.341534,1.341534,1.927353678,1.917970391,1.876898664,93.30765388,134.9350909,118.7329147,-23.45649605,10,10,12
NiZnCo,NaN,NaN,102.76,167.96,129.54,196.01,192.41,259.08,167.96,0.96068,1.22505,0.94779,-0.99058,0.80069,0.0105,0.0019,2.505,0.12134,-0.4521,-2.10536,-6.33758,-2.89572,-3.56524,-2.54416,0.957915,1.340583,0.957915,1.944968899,1.976460628,1.811238163,89.70540375,136.4911508,115.064444,-26.57612551,10,12,9
NiZnCu,127.27,174.25,104.84,171.09,143.18,206.46,140.48,198.33,171.09,1.02293,1.23179,0.90907,-1.0045,0.8045,1.5481,-0.0023,-0.4839,-0.10357,0.4523,-2.31489,-5.72471,-2.58194,-3.04265,-1.9218,0.841492,1.318666,0.841492,1.910234046,1.954528108,1.886801768,92.3171386,141.8110848,121.4801752,-13.44424647,10,12,11
NiZnFe,148.12,197.19,143.54,204.13,103.46,167.17,271.14,332.22,167.17,0.95768,1.22484,0.94167,-0.99233,0.7797,0.014,0.0044,3.4901,0.09842,-0.4451,-2.48036,-6.78404,-3.59773,-3.89047,-3.00911,0.877907,0.837048,0.837048,1.968828331,1.982044573,1.817082398,88.67302046,134.6775383,116.0322241,-28.67693458,10,12,8
NiZnMn,117.59,165.94,128.59,190.95,123.28,183.96,115.14,172.41,165.94,1.02629,1.22659,1.12268,-1.09602,0.78303,-1.6104,0.0126,4.65505,-0.01293,-0.4062,-2.28542,-5.86281,-2.61482,-3.06863,-2.066,1.069075,1.969325,1.069075,1.946716267,1.949924783,1.910556805,90.0401208,144.0202692,122.2651535,-12.33388254,10,12,7
NiZnNi,85.88,144.24,122.34,188.31,100.67,168.23,93.33,159.56,144.24,1.02897,1.22315,0.99569,-1.0508,0.78934,1.6374,-0.0069,1.6071,0.35318,0.4277,-2.23256,-5.62496,-2.80514,-2.81111,-1.99182,3.663753,1.151924,1.151924,1.941937963,1.949223396,1.879681271,90.0021071,136.2300742,122.3552975,-22.90234555,10,12,10
NiZnZn,111.23,164.54,121.07,186.52,104.97,172.81,107.8,167.3,164.54,1.04688,1.22928,1.20644,-1.16432,0.77708,1.6432,-0.0058,0.0021,0.15644,0.4215,-2.20803,-5.57624,-6.05815,-2.66246,-1.92918,3.503293,1.32152,1.32152,1.93187668,1.938985714,1.875129815,90.83330541,140.5833719,117.8572083,-20.29451402,10,12,12
ZnCoCo,NaN,NaN,130.98,193.28,78.15,133.77,110.04,171.32,133.77,1.20735,1.05309,0.97106,-1.00635,0.77275,0.004,2.6463,2.5761,0.426,0.42,-6.086,-2.76597,-3.06739,-3.41686,-2.40062,3.84517,0.869484,0.869484,2.006662619,1.9108248,1.841396918,88.36353489,129.5894462,117.5624408,-33.40777732,12,9,9
ZnCoCu,124.41,177.47,126.59,192.3,128.87,199.36,134.62,200.6,177.47,1.21249,1.11062,0.81427,-0.92269,0.83289,0.0015,2.7209,0.3683,0.57753,0.4841,-5.95026,-3.05891,-1.97619,-3.60913,-2.16805,3.99138,0.945623,0.945623,2.059779471,1.789515287,1.959060099,92.30989415,140.2069989,127.0241346,-4.952442535,12,9,11
ZnCoFe,NaN,NaN,135.69,194.97,120.62,179.18,138.41,188.7,179.18,1.20233,1.07394,1.05611,-1.02367,0.71957,0.0072,2.667,3.6824,0.40982,0.3617,-6.12863,-2.89038,-3.83123,-3.52961,-2.2803,3.561878,0.928435,0.928435,2.018437776,1.93857264,1.837659614,87.53848912,127.3211011,120.4148903,-35.2918172,12,9,8
ZnCoNi,NaN,NaN,125.36,190.12,73.06,143.92,96.56,162.11,143.92,1.19812,1.04938,0.992,-1.04121,0.80337,0.002,2.6516,1.6028,0.36162,0.4443,-6.15593,-2.80513,-3.10236,-3.2474,-2.56297,3.791252,0.707537,0.707537,1.988710671,1.898463429,1.878744509,88.14905006,130.1029702,123.0529399,-31.19920381,12,9,10
ZnCoZn,NaN,NaN,97.86,164.17,110.5,178,105.1,169.26,164.17,1.18787,1.03751,1.2289,-1.1492,0.83368,0.0007,2.6447,0.0027,0.15661,0.4563,-6.21247,-2.77119,-6.44624,-3.17305,-2.44456,3.748331,0.868184,0.868184,1.971372566,1.932941721,1.8937263,86.80840595,142.1652762,109.1791599,-25.57920577,12,9,12
ZnCuCo,153.87,202.78,125.26,188.05,110.49,172.45,86.93,159.79,159.79,1.20343,0.90157,1.00253,-0.95309,0.76137,-0.0041,0.5216,2.6227,0.44195,0.4179,-5.79724,-2.44276,-2.97639,-3.03959,-2.32044,3.87222,1.004729,1.004729,2.007313401,1.961242976,1.823073507,84.59882766,122.590448,106.9814753,-41.66407801,12,11,9
ZnCuCu,102.87,149.77,111.29,171.41,107.7,169.19,106.98,167.39,149.77,1.19855,0.93248,0.90514,-0.93477,0.76987,-0.0104,0.5733,0.5172,0.48077,0.4282,-5.45497,-2.47714,-2.56471,-2.64394,-2.09023,3.886655,0.921341,0.921341,1.995052174,1.948396889,1.887807268,86.00299924,122.8591915,111.0429432,-40.65077721,12,11,11
ZnCuFe,182.55,217.38,130.5,193.26,110.21,172.49,131.2,185.84,172.49,1.19923,0.94692,1.04651,-0.96363,0.69713,0.0102,-0.5657,3.6597,0.17238,0.35,-6.03439,-3.07223,-3.81779,-3.37483,-2.29264,0.890278,0.981899,0.890278,2.030253867,1.96103531,1.819279906,85.09864987,121.6374682,112.2037113,-42.45144532,12,11,8
ZnCuMn,158.2,199.73,126.84,190.16,106.21,161.14,74.66,147.18,147.18,1.19919,0.92774,1.12496,-1.04361,0.77229,0.0213,-0.5319,4.58677,-0.03495,-0.4033,-5.79194,-2.46388,-2.65541,-2.94274,-2.3856,0.900973,2.108296,0.900973,1.979730037,1.939926712,1.891007506,86.8753869,129.4748179,119.0989572,-33.82553084,12,11,7
ZnCuNi,120.65,165.15,122.75,182.66,107.15,161.56,94.37,156.5,156.5,1.19636,0.92549,1.00251,-0.994,0.80686,-0.0094,0.5558,1.6093,0.37834,0.4495,-5.51512,-2.42081,-2.43797,-2.74117,-2.09729,3.940727,1.356175,1.356175,1.995569937,1.957956475,1.82706187,83.9211746,119.938077,115.677893,-44.2354363,12,11,10
ZnCuZn,NaN,NaN,119.49,179.48,95.31,152.23,93.55,156.05,152.23,1.20829,0.93629,1.20064,-1.11082,0.78434,-0.0111,0.5731,0.0043,0.16396,0.4348,-5.32689,-2.44345,-5.75693,-2.37215,-2.06732,3.766948,1.349221,1.349221,1.967031189,1.946164968,1.8666024,85.8083453,122.3000653,108.3032326,-40.96710547,12,11,12
ZnFeNi,187.5,233.11,137.91,204.28,151.74,218.69,116.88,179.5,179.5,1.20903,1.27568,0.81994,-1.02521,0.73827,0.0124,4.0141,1.3051,0.40831,0.3461,-5.85503,-4.25674,-1.92121,-3.20988,-2.00937,3.572472,0.850205,0.850205,2.013686292,1.878746911,1.911947709,92.83696624,135.9620032,127.361597,-14.485984,12,8,10
ZnMnCo,148.19,195.4,112.73,193.48,110.52,189.38,117.39,173.7,173.7,1.19431,1.06125,0.93593,-0.88792,0.67444,0.028,4.35309,-2.5187,-0.35717,-0.2812,-6.29994,-2.74123,-3.12502,-3.79564,-2.29013,0.669497,3.656668,0.669497,2.085307611,1.989135798,1.799345771,85.23838855,127.8861044,114.9421803,-37.58947758,12,7,9
ZnMnCu,151.82,199.9,114.86,179.73,130.38,203.83,121.59,183.95,179.73,1.19633,1.03145,0.65746,-0.89884,0.76685,0.0357,3.7033,0.0493,0.05473,0.465,-6.50699,-3.25981,-1.51511,-3.34836,-2.81468,1.343322,0.40021,0.40021,2.017983282,1.819929634,2.097459088,91.37676293,126.4319023,122.8101596,-32.28344029,12,7,11
ZnMnFe,169.59,217.33,128.55,187.95,132.52,191.21,123.26,178.19,178.19,1.18995,1.07458,1.07064,-0.97217,0.67685,0.0276,4.66479,3.7243,0.43614,0.3529,-6.2788,-2.31123,-4.12399,-3.40513,-2.56029,2.904336,1.10468,1.10468,2.02738905,2.202845837,1.797134111,82.53403891,130.8061161,113.6085243,-35.50987766,12,7,8
ZnMnMn,142.53,182.95,107.97,184.02,96.71,170.13,111.23,157.55,157.55,1.18505,1.03146,1.08434,-0.8918,0.54014,0.0451,3.7529,4.64093,0.06674,0.1034,-6.39419,-3.68131,-3.04763,-3.84144,-1.50829,0.654406,1.574571,0.654406,2.073491516,1.83172506,1.986295476,87.05371614,126.4551751,118.4608683,-37.46979923,12,7,7
ZnMnNi,NaN,NaN,119.11,183.72,124.93,196.63,101.39,159.81,159.81,1.20178,1.07724,0.84078,-0.97849,0.69695,0.0284,3.7456,1.3466,0.17814,0.2995,-5.7301,-2.8836,-1.95934,-2.87281,-2.05581,2.431782,0.909026,0.909026,2.0010286,1.902559595,1.923419308,91.26663636,123.0863939,118.1349739,-36.63701045,12,7,10
ZnMnZn,105.61,163.29,97.06,158.4,100.65,174.74,95.1,158,158,1.18955,1.15698,1.22559,-1.18871,0.83848,0.02,4.71598,0.0116,0.111,-0.4575,-6.00965,-2.47742,-6.36445,-2.9677,-2.37051,0.883485,3.53699,0.883485,1.958664352,2.005779859,1.877896163,88.52914494,143.0992791,112.2213239,-22.50241064,12,7,12
ZnNiCo,100.96,153.4,140.73,201.75,119.22,181.07,112.29,173.09,153.4,1.20189,1.04866,1.00084,-1.01561,0.77538,-0.002,1.6251,2.6084,0.41207,0.4246,-5.74058,-2.45306,-2.9438,-3.13927,-2.24262,3.890881,1.0581,1.0581,1.995350156,1.922508883,1.83454097,89.40951882,130.4033732,121.2497293,-30.55517638,12,10,9
ZnNiCu,118.11,163.52,128.22,189.41,110.71,173.34,131.52,189.73,163.52,1.20502,1.05472,0.91059,-0.98538,0.79647,-0.0028,1.6607,0.5143,0.45718,0.4431,-5.44785,-2.40522,-2.54621,-2.83843,-2.01728,3.923753,0.918368,0.918368,1.993621564,1.893160779,1.881411835,90.82267896,131.2343198,121.9972062,-28.1597263,12,10,11
ZnNiMn,NaN,NaN,142.89,201.12,112.05,175.91,112.51,170.09,170.09,1.1944,1.06029,1.11502,-1.0949,0.78811,0.0188,-1.6259,4.64824,-0.02038,-0.418,-5.83376,-2.55221,-2.65303,-3.07388,-2.33896,0.878975,2.303952,0.878975,1.978847064,1.919511322,1.904688694,90.087672,136.5796542,129.1432169,-15.37244734,12,10,7
ZnNiNi,NaN,NaN,127.95,191.26,102.76,167.88,88.18,155.29,155.29,1.20283,1.08221,0.97717,-1.00027,0.81048,-0.0055,1.661,1.5654,0.47419,0.4669,-5.64328,-2.54091,-2.49045,-3.27653,-2.00688,3.867836,0.980353,0.980353,2.016829336,1.920825637,1.837872369,91.42174725,140.5297938,127.6090754,-4.791845916,12,10,10
ZnNiZn,NaN,NaN,60.87,129.43,100.82,160.07,109.05,173.44,129.43,1.20592,1.06444,1.20054,-1.16,0.79082,-0.0082,1.6456,0.0042,0.16329,0.4382,-5.26298,-2.24472,-5.78537,-2.47937,-2.01072,3.757974,1.352124,1.352124,1.95860507,1.916830134,1.867978518,90.13513627,131.9748539,119.4746684,-28.92404325,12,10,12
ZnZnCo,NaN,NaN,95.55,158.82,98.92,175.14,102.04,163.74,158.82,1.20028,1.21739,1.00788,-1.11854,0.86615,0.0089,-0.004,2.5705,0.22326,-0.4786,-6.14217,-6.33505,-2.81435,-3.21373,-2.47852,1.483889,1.833758,1.483889,1.963427466,1.975263358,1.840400745,86.16600832,141.9500237,109.9031875,-25.76941612,12,12,9
ZnZnCu,107.9,155.73,120.71,182.22,126.9,191.77,130.6,186.82,155.73,1.20119,1.25594,0.93274,-1.09778,0.85985,-0.0027,-0.0026,0.5152,0.31383,0.5059,-5.95513,-6.13323,-2.90725,-3.34218,-2.13284,3.694708,0.465797,0.465797,2.022454407,1.942502812,1.880385945,89.93637998,134.2316341,131.459948,16.55094569,12,12,11
ZnZnMn,NaN,NaN,56.41,117.14,112.14,176.2,109.23,169.78,117.14,1.20547,1.23935,1.1213,-1.18922,0.80041,0.0132,0.008,4.68746,0.13205,-0.4372,-5.87023,-6.01562,-2.62637,-2.92134,-2.26453,0.909034,2.165207,0.909034,1.978145896,1.935026539,1.916204243,88.4161886,142.6358387,125.1161613,-13.34729089,12,12,7
ZnZnNi,119.55,169.64,117.64,177.6,88.53,153.53,82.77,148.61,148.61,1.20959,1.25206,0.99819,-1.09494,0.81501,-0.0014,-0.0011,1.5856,0.32027,0.4748,-5.72366,-5.87972,-2.607,-3.1369,-2.03779,3.764405,0.898518,0.898518,2.010081811,1.949631057,1.839117454,89.48172352,142.3332736,127.3708459,-6.408939203,12,12,10
ZnZnZn,NaN,NaN,95.05,154.55,74.42,146.86,104.27,164.41,146.86,1.19554,1.21682,1.23303,-1.23698,0.848,-0.0026,-0.0005,-0.0018,0.00047,0.4804,-5.5946,-5.69673,-5.87202,-2.49221,-1.98028,3.674787,1.463056,1.463056,1.971253247,1.964764501,1.890508305,85.97727838,150.2484383,106.9173003,-19.97505093,12,12,12
